اَنوشا	جاویدانبرگشتبهلیست
به‌آفرید	نامدخترگشتاسپپادشاهکیانیوخواهراسفندیار
به‌آفرین	نیکآفریدهشده
به‌آیین	دارایآیینبهتر
بهدخت	نیکتریندوشیزه
بهدیس	مانندبه(بهمیوهایخوشعطروبو)
بهرخ	نیکچهره
بهرو	نیکوچهره
بهشت	پردیس،بهترین
بهکامه	مرکبازبه(بهتر،خوبتر)+کامه(آرزو)
بهگل	نیکوترینگل
بهناز	ازنامهایبرگزیده
بهنوش	نیکوتریننوشیدنی
بهین	بهترین،نیکوترین
بیتا	بیمانند،بیهمتا،یکتا
بیدار	هشیاروسرزنده
بینا	روشن،دلآگاه
پَرَند	پروین،حریرساده؛گروهیازگیاهانبرگشتبهلیست
پَرَندیس	(پَرَن+دیس(پسوندشباهت))،شبیهبهپَرَنپَرَن،زیبارو،نرمولطیفچونپرند
پَرَنسا	همانندابریشمودیبا؛زیباولطیف
پَرتو	شعاعیکهازمنبعنورانییاگرماساطعمیشود،درخشش،تلألؤ،روشنایی؛اثر،تأثیر
پَردیس	بهشت؛فضایسبزوگلکاریشدهیاطرافساختمان.
پَرنیان	پارچهایابریشمیداراینقشونگار؛پردهینقاشی
پاداش	پاداش
پادمیرا	جاویدان،نگهبانمهر،نگهدارندهعشق
پادنا	اسمیکیازبخش‌هایتابعهشهرستانسمیرم،
پادینا	درگویشهمدانیبهگلپونهیاپودینهگفتهمی‌شود.
پارامیدا	پارامیس،نامدختربردیاونوهکوروشپادشاههخامنشی،
پاردیس	پردیس
پارلا	(ترکی)بهمعنیدرخشندهونورانی–درخشندهونورانی
پارمیدا	پارامیدا،پارامیس،پرمیس
پارمیس	پرمیس،نامدختربردیاونوهکوروشبزرگپادشاههخامنشی
پارمین	تکهیاقطعه‌ایازبلور؛نامزنِداریوش.
پارنا	نامقله‌ایدرنزدیکیپلدختر
پارند	نیکبختیوفرارونی؛نگهبانگنجوخواسته
پاشنگ	خوشه‌یانگور
پاکسیما	ازنامهایبرگزیده
پاکبانو	آناهیتا،بانویپاک
پاکچهر	خوشصورت
پاکدخت	دخترپاکوعفیف
پاکدل	پاکیزهدل،دلپاک،خوشقلب
پاکرخ	پاکیزهرو،زیبارو
پاکروز	ازنامهایبرگزیده
پاکروی	پاکیزهروی،زیباروی
پاک‌سیما	دارایصورتیپاکوزیبا
پاکفر	ازنامهایبرگزیده
پاکناز	داراینازخوش
پاکنوش	پاکنوشنده
پالیز	باغ
پامچال	گلیزینتیبهرنگهایسفید،صورتی،یانارنجی
پانته‌آ	پایدار،نگهباننیرومند،نامهمسرآبرداتاسکهدرزمانکوروش،پادشاهشوشبود
پانتی	نامهمسرآریاسبازسردارانکوروشپادشاههخامنشی
پانیا	محافظنگهدارنده
پانیذ	پانید،قندمکرر،شکر،شکربرگ،
پانیک	کسیکهقدمشنیکاست،خوشقدم
پایون	پیرایه،زیور،آرایش
پاییز	هنگامپاییز،برگریزان،مجازادخترزیبارو
پاییزان	هنگامپاییز
پدیده	پدیدار؛شخص،چیزیاحادثه‌یچشمگیر.
پرتو	فروغ،روشنایی
پرخیده	سخنسربسته
پردیس	باغبهشت
پرسا	نرمولطیفمانندپر.
پرستش	نیایش،عبادت
پرستو	پرنده‌ایسیاهوسفیدبابالهایباریککهمهاجراست.
پرستوک	پرستو،ناماصیلپارسی
پرسون	برهونهاله،خرمنماه
پرشت	پرآرزو
پرگل	(بهفتحپ)هریکازگلبرگهایگل
پرمون	زینتوآرایش
پرند	پارچهابریشمی
پرنیان	حریر،دیبا
پروا	ملاحظه،فرصتوزمانپرداختنبهکاری،فراغتوآسایش،توجه
پروانه	ازنامهایبرگزیده
پروین	نامستاره‌ای
پری	زنزیبا
پریبانو	ازنامهایبرگزیده
پریسیما	زیباروی
پریچهر	فرشتهرو،زیبامثلپری؛زیبارو
پریدخت	ازنامهایبرگزیده
پریرخ	پریرو،پریرخسار،خوبروی
پریروی	خوشگل،زیبارو
پریزاد	فرزندپری،فرزندزیبا
پریسا	مانندپری
پریسان	ازنامهایبرگزیده
پریفام	زیباچهره
پریگون	مانندپری
پریماه	زیباچونماهوپری
پریمرز	ازنامهایبرگزیده
پریناز	ازنامهایبرگزیده
پریوش	پریمانند
پگاه	سحر،بامداد
پوپک	هدهد
پودینه	پونه
پوران	ازنامهایبرگزیده
پوروچیستا	نامکوچکتریندختراشوزرتشت
پونه	بوتهوگلیخوشبو
پیچک	گیاهیزینتیکهساقهایبالاروندهدارد.
پیراسته	بانظم،باآرایش
پیرایه	آراسته،آرایش
پیروزه	ازسنگهایقیمتی
پینار	بهچشمه،سرچشمه

تَرَنُم	آوازخوشبرگشتبهلیست
تَرلان	مرغیازجنسبازشکاریراگویند؛(درکردی)بهزیبا؛نامنوعیاسباست.
تَرنّم	خواندنشعر،ترانه،ومانندآنها
تَندُر	بلبل
تَندیس	مجسمه؛بت،تصویربرجسته،تمثال؛(بهمجاز)زیباروی.
تُرنج	ناممیوهایاست
تِلما	گندمگون
تِهرت	نامدخترمیانهاشوزرتشت
تِیتَک	شبکیهچشمبهزبانپهلوی
تابا	طاقت،پیچوتابزلف،فروغ،تابنده،تابان
تابان	داراینوروروشنی،درخشان،روشن
تابانمهر	ازنامهایبرگزیده
تابش	نورافشان
تابناک	پرتو،نورانی
تابناک	جذاب،روشنودرخشنده
تابنده	آنچهمی‌تابدونورافشانیمی‌کند،درخشان.
تاتیانا	تاتینا،پرندهشکاری
تاتین	پرنده‌ایشکاری
تاجآفرین	آفرینندهتاج،بهوجودآورندهتاج
تاجبانو	ملکه،شاهزادهخانم
تاجخاتون	ملکه،شاهزادهخانم
تاجدخت	تاج(کلاهپادشاهی،افسر)+دخت(دختر)
تاجگل	آنکهچونتاجیدررأسگلهااست،زیبا
تاجماه	آنکهچونتاجیبرسرماهاست،بسیارزیبا
تاجمهر	آنکهچونتاجیبرسرخورشیداست،یادستهگلیبهشکلتاج،بسیارزیبا
تارا	ستارهکوکبمردمکچشم
تارادخت	دخترستاره،دخترچونستاره،(بهمجاز)دخترزیبا،صاحبحسنوکمال
تارادیس	مانندستاره
تازه	جدید،پرتراوت،لطیف
تاژ	لطیف،نازک،نامپسرفرواکبرادرهوشنگپادشاهپیشدادی
تافته	گداخته،درخشندهوتابناک،روشن،نوعیپارچهابریشمی
تاکآفرین	مرکبازتاک(درختانگور)+آفرین(آفریننده)
تاکدخت	مرکبازتاک(درختانگور)+دخت(دختر)
تالین	پایتختکشوراستونی،برکناره‌یجنوبیخلیجفنلاندازبندرهایعمده‌یدریایبالتیک.
تامیلا	ازرویامیدواری،امیدوارانه؛دربرخیمنابعبهبخشنده
تانسو	زلالیچشمه،تمیزیوپاکیوزیبایی
تانیا	درفارسیبهمعنیدختریگانهوبیمانند
تبسّم	لبخند،خندهیبدونصدا؛(بهمجاز)درخشیدن
تخشک	خوبرووزیبا
تذرو	نامدخترداریوشسومهخامنشی
ترانه	قطعهآوازی،هرصداییکهحالتموسیقاییداشتهباشد.
ترگل	گلتازهوشاداب
ترلان	زیبا؛نامنوعیاسباست.
ترمه	نوعیپارچه(قیمتی)ازجنسکرک،پشم،یاابریشم
ترنج	بالنگ؛طرحیمرکّبازطرح‌هایاسلیمی
ترنگ	آوازتارهایساز
ترنیان	سبدیکهازشاخههایبیدمی‌بافند
تروند	میوهتازهرسیده،نوبر
تریتی	نامدخترمیانهاشوزرتشت
تسنیم	رودیدربهشت(سورهمطففین)
تشتر	نامستارهتیر.نگهبانباران
تکاو	نامیکیازآهنگهاینامیباربد
تکتم	نامچاهزمزم،ناممادرامامرضا،بانویرازدارورازنگهدار
تلّی	دختریکهگیسویبلندوزیبادارد،زلفدار؛زبانداروسخنور.
تمنا	خواهش،درخواست،آرزو
تمیس	گیاهیبالارونده
تناز	ناممادرلهراسب.دخترآرش
تنبور	نوعیساز،دنبره
تندیس	پیکره،تصویر
توار	پرنده,نامکوهیدرشمالایران،شهرستانچالوس
توتیا	ازآبزیاندریاییکهدربستردریازندگیمیکند؛گردیکهبهعنوانسُرمهاستفادهمیکنند.
توران	ازنامهایبرگزیده
تورانبانو	ازنامهایبرگزیده
توراندخت	ازنامهایبرگزیده
توسکا	توسا،درختیبلندوجنگلیکهدرمناطقمرطوبوکنارآبهامی‌روید.
توکا	پرنده‌ایازخانوادهگنجشکبامنقاریباریکوتنیرنگارنگ
تهمینه	زنرستمومادرسهراب
تیارا	تیهدرگویشلریبهمعنایچشموآرابهمعنایآرایندهمیباشد،چشمآرا،زیبا
تیسا	درگویشمازندرانخالص
تینا	درعربی(طین)بهمعنیگِلسرخ
تیهو	پرنده‌ایخوشرنگ

ثَمینا	(ثمین+الفنسبت)منسوببهثمین،ثمینبرگشتبهلیست
ثریا	(عربی)پروین(نامستارهایدرمنظومهشمسی)
ثمر	میوه؛(بهمجاز)نتیجهوحاصل
ثمره	میوه؛(بهمجاز)نتیجهوحاصل
ثمن	بها،قیمت
ثمین	(عربی)گرانبها،ارزشمند،قدیمی
ثمین	گرانبها،قیمتی،گران
ثمینا	گرانبهاوارزشمند(ترکیبیعربی-فارسی)
ثمینه	گرانبها،قیمتی،گران
ثنا	ستایشخداوند،حمدخداوند،شکر،دعا

جَمیله	مؤنثجمیل،جمیل؛زیبابرگشتبهلیست
جُمانه	یکدانهمروارید،یکدانهلؤلؤ؛نامدخترابوطالبوخواهرحضرتعلی(ع)
جالیز	کشتزار
جام	پیاله،ساغر
جانافروز	(بهمجاز)آسایشبخشروان
جانبانو	بانوییکهچونجانعزیزاست.
جانپرور	ازنامهایبرگزیده
جاننواز	آرامشدهندهجان،محبوب
جانا	ایجان،ایعزیز
جانان	معشوق،محبوب؛خوب
جانانه	محبوب،معشوق،(درتصوف)(بهمجاز)خداوند
جاندخت	محبوبه،معشوقه،دختریکهچونجانعزیزاست.
جانمهر	ازنامهایبرگزیده
جلبک	گیاهسبزآبزی
جلگه	زمینپهناور
جلوه	نمایانشدن،خودراآشکارکردن،خودنمایی؛(بهمجاز)زیبایی،جاذبه
جلیله	مؤنثجلیل
جمانه	یکدانهمروارید،یکدانهلؤلؤ؛نامدخترابوطالبوخواهرحضرتعلی(ع)
جمدخت	جم(پادشاهبزرگ)+دخت(دختر)
جنان	بهشت؛باغها
جنت	بهشت،فردوس
جوانه	تازه،نو؛جوان
جوانه	جوان،جوانی،رویش
جواهر	هریکازسنگهایگرانبهامانندیاقوتوزمرد؛
جویبار	کنارجویآب
جهانآوا	مرکبازجهان(عالم،گیتی)+آوا(صدا،بانگ)
جهانبانو	بانویجهانیان
جهانخاتون	خاتونجهانیان،بانویجهانیان،شاعرهایرانیدرقرنهشتم
جهانماه	آنکهدرجهانچونماهمیدرخشد،زیبا
جهانناز	مایهافتخارجهان،فخرجهان
جهانتاب	آنچهبهجهاننوروروشناییمیدهد،عالمتاب،نوردهندهجهان
جهاندخت	دخترشهرهدرعالم
جهانرخ	مرکبازجهان(عالم،گیتی)+رخ(چهره،صورت)
جیحون	رودبزرگ،رود،نامرودیدرآسیایمیانه
جیران	آهو(بهمجاز)معشوقِزیبا؛چشمِزیبا

چَمان	خرامانبرگشتبهلیست
چام	نازوعشوه
چامه	شعر،شعریکهباآوازخواندهمی‌شود.
چرمه	اسببهویژهاسبسفیدرنگ
چشمه	مکانیکهآبزیرزمینیدرآنجابهطورطبیعیدرسطحزمینظاهرمی‌شود.
چکامه	شعربهویژهقصیده.
چکاو	نامپرندهایخوشآواز
چکاوک	پرنده‌ایخوشآوازوکمیبزرگ‌ترازگنجشککهتاجبرسردارد.
چکاوه	چکاوک
چلچله	پرستو
چمان	آنکهمی‌خرامدوبانازحرکتمی‌کند،خرامان،رونده،راهوار،
چمانه	پیالهشراب
چمن	زمینسبزوخرم،باغوبوستانمرغزار؛نامگیاهیازتیره‌یغلات.
چمنافروز	آنکهیاآنچهزینتدهندهچمناست،تاجخروس
چمنآرا	زینتدهندهباغ،باغبان،آنچهموجبزیباییوآراستگیباغوبوستاناست.
چمنچهر	آنکهچهره‌ایزیباچونباغوبوستاندارد.
چمنناز	زیباروییکهداراینازوعشوهوکرشمهاست.
چنور	گیاهیخوشبوشبیهبهشوید،کهدربعضیازمناطقکردستانمی‌روید.
چوک	چشمه
چهرآذر	آذرچهر،دارایچهره‌ایچونآتش
چهرآرا	آرایندهچهره
چهرزاد	نژادواصیل،لقبهما،دختربهمندرشاهنامه
چهرمینو	آنکهچهره‌ایزیباچونبهشتدارد.
چهره	روی،صورت
چهرهگل	آنکهچهره‌ایزیباچونگلدارد.
چیترا	ازنامهایبرگزیده
چیستا	نامفرشتهدانشومعرفت
چیستی	دانشوآگاهی
چیکا	نوعیپرنده(ریشهگیلکی)
چیلانه	درختعناب

حَلیا	زیوروآرایشبرگشتبهلیست
حِلما	جمعحَلیم،بردباران،صبوران
حاتمه	مؤنثحاتمبهمعنیحاکم،قاضی،داور
حارثه	مؤنثحارث،زنکشاورز
حاصل	نتیجه
حامده	مؤنثحامد،سپاسگزار
حانی	(دخترانهوپسرانه)میشیاگاووحشی
حانیه	مهربان،دلسوز
حبه	دانه‌یبعضیازمیوه‌هاوگیاهان
حبیبه	مؤنثحبیب،دوست،یار،معشوقه
حدیث	عشق،سودا
حدیثه	نووتازه
حدیقه	باغ
حرمت	احترام
حره	دخترآزاده،ازاسامیحضرتزهرا،ازالقاببانواناشرافی
حریر	ابریشم
حریه	حُره
حسِیبا	دارایاصلونسب،پاکنژاد،پاکزادواصیل
حسْنا	زیبا،زنزیبا
حسانه	زنبسیارنیکو
حسنا	نیک،پسندیده
حسنه	خوب،نیک،پسندیده
حسنی	نیکو،پسندیده
حسنیه	نیکوتر،کارنیک،عاقبتنیکو
حسیبا	مرکبازحسیببهمعنایپاکنژادوپاکزادوالفنسبت،دختربااصلونسب
حسیبه	دارنده‌یناموشرفوبزرگی
حفصه	اسد،شیر؛
حفیظه	موکّلبهچیزی؛حافظومحفوظ
حکیمه	مؤنثحکیم،زنحکیمودانشمند
حلما	جمعحَلیم،بردباران،صبوران.
حلیا	آنچهدرچشمخوشمیدرخشد(حلی+ا)
حلیمه	مؤنثحلیم،زنخویشتندار،صبوروباتحمل،دختربردبار
حلیه	زینت،پیرایه،زیور؛مشخصاتصورتواندام
حماسه	کاریافتخارآفرین،نوعیشعر،دلیری،شجاعت،بیباکی
حمده	سپاسوشکرگزاری
حمرا	سرخرنگ
حمیده	مؤنثحمید،ستوده،پسندیده؛مادرامامموسیکاظم(ع).
حمیرا	مصغّرحمرا،زنسرخوسپید،زنسرخ
حنّان	آرزومند،مشتاق؛بخشاینده
حنّانه	بسیارنوحهکننده،نالهکننده
حنا	گیاهیدرختیکهگلهایسفیدومعطردارد،گردبسیارنرمسبزرنگیازگیاهیبههمیننام.
حنان	بسیارمهربان،یکیازنامهایخداوند،دردعایجوشنکبیرمیتونیدببینید
حنانه	ﻣﻬﺮﺑﺎﻥ،ﺑﺨﺸﺎﯾﻨﺪﻩ،ﺑﺴﯿﺎرﻧﺎﻟﻪﮐﻨﻨﺪﻩ
حنظله	مفردحَنظل
حنیسه	زنشجاع
حنیفا	حق،راست(لقبادیانتوحیدیومسلکحضرتابراهیم)
حنیفه	حق،راست(لقبادیانتوحیدیومسلکحضرتابراهیم)
حنیفه	مؤنثحنیف،دختردرستوپاک
حوا	نخستینزنیکهخداآفرید،همسرحضرتآدم(ع)
حور	زنزیبایبهشتی
حورا	حور،زنزیبایبهشتی؛زنِسفیدپوستِسیاهچشموموی.ریشه
حورالعین	زنیازنانسفیدپوستدرشتچشم
حورآسا	آنکهچونحورزیباست.
حورآفرین	مرکبازحور(زنزیبایبهشتی)+آفرین(آفریننده)
حورجهان	آنکهچهره‌ایزیباچونحوردارد.
حوردیس	آنکهچونحورزیباست.
حوررخ	حور,آنکهچهره‌ایزیباچونحوردارد.
حورزاد	زادهحور،زیبا
حوروش	دختریچونزن(زنان)زیبایبهشتی.
حوری	حور؛زنزیبا
حوریبانو	حور,زنزیبایبهشتی
حوریدخت	حور,مرکبازحوری(زنزیبایبهشتی)+دخت
حوریرخ	حور,آنکهچهره‌ایزیباچونحوریدارد.
حوریزاد	حور,زادهحوری،زیبا
حوریلقا	آنکهچونحوریزیباست.
حوریا	ازحوریبهمعنیفرشتهبهشتیمی‌آید،آنکهچونحورزیباست.
حوریه	زنسفیدپوستوزیباروی.
حیات	زندگی،زیست
حیفا	نامبندریدرفلسطین

خرمن	تودهغلهدروشده،تودهومقدارانبوهازهرچیزبرگشتبهلیست
خَضرا	(مؤنثاخضر)بهمعنیسبز،کبود،نیلگون،وآبیوسبز؛سبزه‌زار،چمن‌زار.
خَلف	فرزندصالح،شایسته؛جانشین؛(بهمجاز)پیرویکنندهازپدردراخلاقوکردار
خُتن	نامشهریدرترکستانشرقی،(بهمجاز)زیباروی.
خُرّم	سرسبزوباطراوت؛شاد،خوشحال،خوب،خوش؛فرخنده،مبارک.
خُوروَش	همانندخورشید
خاتَم	فرمان،حکموپایان؛نامشهرستانیدرجنوباستانیزد.
خاتون	لقبزناناشرافی،لقبهمسرخاقانچینکهانوشیرواندختراورابههمسریبرگزید
خاتونک	خاتون(بانو)+ک،بانویکوچک،نامروستاییدرنزدیکیشیراز
خارا	نوعیسنگآذرین،نامیکیازگوشه‌هایموسیقیایرانی
خارک	نوعیخرمایزردوخشک
خاطِره	یادبود،یاد،ذهن،حافظه،خاطر.
خاطرافروز	خاطر(عربی)+افروز(فارسی)شادیبخش
خاطرآسا	خاطر(عربی)+آسا(فارسی)آسایشدهندهخاطر
خاطرنواز	خاطر(عربی)+نواز(فارسی)دلکش،مطبوع
خالِده	مؤنثخالد
خانمگل	خانم(ترکی)+گل(فارسی)خانمیکهاززیباییولطافتچونگلاست.
خاور	(مخففِخاوران)همبهمعنیمشرقوهمبهمعنایمغرباست.
ختا	نامسرزمینچینشمالیکهمحلزندگیقبایلترکبودهاست.
ختمی	گیاهیعلفی،پایا،وزینتیازخانوادهپنیرککهگلهایدرشتدارد.
خجسته	شادباش،مبارک
خجستهلقا	خجسته(فارسی)+لقا(عربی)خوشسیما،خوشرو
خجیر	زیبارویوپسندیده
خداآفرید	آفریدهخداوند
خدیجه	مولودِپیشازاتمامماهها
خرامان	دارایحالتخرامیدن،درحالخرامیدن،بهآهستگیوباناز.
خرشا	خورشید،آفتاب،ازشخصیتهایشاهنامه،نامپسرخرادازسرداران‏خسروپرویزپادشاهساسانی.
خرشید	خورشید،آفتاب،ازشخصیتهایشاهنامه،نامپسرخرادازسرداران‏خسروپرویزپادشاهساسانی
خرمبانو	بانویشادوخوشحال
خرمبهار	آنکهچونبهارخرموباطراوتاست،نامدخترفتحعلیشاهقاجار
خرمچهر	آنکهچهرهایشادابوباطراوتدارد.
خرمگل	آنکهچونگلخرموباطراوتاست.
خرمدخت	دخترشادوباطراوت
خرمدل	خوشدل،خوشحال،شادمان
خرمناز	زیباوباطراوت
خرمه	نامهمسرمزدک،گیاهیاستمانندلوبیا
